id,tag,title,description
1,C,Total Screen Time (daily/weekly),Baseline attention load; trend over time.
2,C,Screen Time by category,Social vs productivity vs entertainment distribution.
3,C,Top apps by usage time,Top 5/10 apps drive habit loops.
4,C,Pickups count,Compulsion/habit proxy.
5,C,Notifications total/day,Interruption pressure.
6,C,Notifications by app,Identify top interrupters.
7,D,Reaction Mode score,Derived from notifications + pickups + short sessions.
8,D,Deep Work probability,Low pickups + long uninterrupted intervals.
9,U,First unlock time vs planned wake,Routine integrity marker.
10,U,Late-night pickups,Sleep sabotage risk indicator.
11,U,First app opened after wake,Dopamine-hook fingerprint.
12,C,Downtime configuration & adherence,Self-control boundary compliance.
13,C,App Limit hits,Which apps trigger limits and when.
14,D,Distraction Index,(pickups/hr) × (notifications/hr).
15,U,Screen-distance/strain alerts (if enabled),Potential eye strain / posture marker.
16,D,Attention fragmentation,Count of short sessions (<2 min).
17,D,Context-switch proxy,Approx from Screen Time session segmentation.
18,U,Notification burst events,10+ notifications in 5 minutes as stressors.
19,D,Protect-sleep compliance,No pickups after cutoff time.
20,D,Weekly habit drift,Week-over-week category shift.
21,C,Sleep duration,Nightly sleep totals from Health/Vitals.
22,C,Overnight heart rate,Baseline/outliers while asleep.
23,C,Respiratory rate,Recovery/illness signal.
24,C,Wrist temperature deviation,Outlier detection vs baseline.
25,C,Blood oxygen (if supported),Respiration proxy.
26,C,HRV trend,Nervous system load indicator.
27,C,Resting HR trend,Overtraining/illness hints.
28,C,Steps & active minutes,Movement baseline.
29,C,Workouts: type + duration,Training inputs and load.
30,D,Recovery Debt,Sleep shortfall + HRV down + outliers up.
31,D,Overtraining suspicion,High load + HRV suppression pattern.
32,U,Vitals outlier count,Single readiness flag for the morning.
33,C,Medication/health confound tags (manual),"Tag alcohol, meds, illness to explain outliers."
34,D,Energy forecast,Next-day energy from 7-day patterns.
35,U,Illness onset detector,Temp deviation + RHR up + sleep disruption.
36,C,Health data change handling,HealthKit data can be edited/deleted; respect updates.
37,U,Automated Health export pipeline,Optional: export HealthKit to JSON/REST for local DB.
38,D,Sleep regularity score,Bedtime variance across 14 days.
39,D,Work capacity estimate,Recovery state × schedule load.
40,D,Health vs output correlation,Identify conditions that produce your best work.
41,C,Calendar event count/day,Meeting density indicator.
42,C,Scheduled hours/day,Overcommitment detection.
43,U,Same-day new events,Volatility score for schedule churn.
44,D,Plan adherence,Calendar focus blocks vs reaction signals.
45,C,Reminders completion rate,Execution reliability.
46,U,Delay patterns,Postponements/overdue accumulation.
47,D,Decision debt,Reschedules + overdue tasks + late nights.
48,U,Focus Mode schedule as intent,Focus schedule is explicit intent signal.
49,D,Intent/Outcome delta,From AM/MID/PM check-ins vs actual day summary.
50,U,Travel blocks inferred,Location state changes + calendar windows.
51,D,Buffer deficit,Scheduled hours – protected time budget.
52,D,Meeting spillover score,Late events + notification/pickup spikes.
53,U,Time-to-first-work after wake,Routine stability / ramp time.
54,D,Weekly rhythm profile,Peak output days from patterns.
55,D,Seasonal behavior drift,Long-horizon aggregate changes.
56,C,Significant location changes,Coarse context shift without GPS trails.
57,D,Place-type fingerprint,Home/work/else classification from location states.
58,U,Commute load proxy,Travel time + pickups during transit.
59,U,Car Bluetooth connection events,Drive-mode detection.
60,U,Wi‑Fi SSID change (hashed),Coarse place changes; store hashes only.
61,U,BLE device proximity counts (non-ID),Density proxy; store counts/strength bands only.
62,D,Social density estimate,RF node count + speech_presence label.
63,C,Weather/daylight context (external API),Interpret energy/sleep variations.
64,U,Outdoor exposure proxy,Light/daylight minutes or outdoor time proxies.
65,U,Noise band labels,Quiet/moderate/loud derived locally (no content).
66,U,Speech present labels,Boolean presence only (no transcript stored).
67,D,Interruption bursts,Noise spikes per hour.
68,D,Silence blocks,Minutes/hour of silence for deep work.
69,D,Environment class,Home/office/car/outdoor inferred by fusion.
70,D,Context mismatch flag,Trying to focus in loud/social environment.
71,C,Call count + duration (metadata),No content; just volumes and time.
72,D,Inbound/outbound ratio,Reactive vs proactive social posture.
73,U,Top contact hashes,Pattern-only relationship intensity.
74,C,Email sent/received counts,Via metadata export or Graph (least privilege).
75,D,Email response latency (median),Time-to-reply metric.
76,D,After-hours email activity,Burnout marker.
77,U,Messaging volume trend (counts),"Counts only, no content stored."
78,U,Reply latency trend (metadata),From export timestamps where available.
79,D,Comms load score,Calls + email + messages + notifications.
80,D,Social saturation flag,High social load + low recovery = risk.
81,U,Meeting vs messaging substitution,Meetings drop while messaging spikes.
82,D,VIP cadence,Contact frequency bands (hashed).
83,C,Least privilege for API access,Use delegated permissions and scoping.
84,D,Communication friction index,Interruptions × response obligations.
85,D,Comms vs output correlation,Quantify communication tax.
86,C,Daily spend total (exports),Read-only transaction totals.
87,C,Spend by category (enriched),Prefer enrichment; MCC alone is weak.
88,C,Subscription detection,Recurring charge identification.
89,D,Burn rate vs output,Runway lens and efficiency.
90,C,No screen scraping for banking,Avoid credentials sharing; export/read-only only.
91,C,Digital footprint themes,"Domain/topic clusters, avoid raw query retention."
92,D,Learning index,Reading/research domains vs entertainment.
93,U,Router/DNS aggregates you control,High-level browsing aggregates (privacy-safe).
94,D,Security posture events (manual),2FA prompts/unusual logins as user-noted events.
95,U,Place fingerprint via Wi‑Fi hash,Routine drift detection without identity.
96,D,Routine stability score,Place fingerprints + sleep regularity.
97,D,Anomaly day detector,Outlier combo across health+attention+mobility.
98,U,Shortcuts as event emitters,Automations emit structured NCL events.
99,D,Personal machine autopilot proposals,NCL proposes system tweaks on anomalies.
